Time,trend
2019-06-25,1228026.983159722
2019-06-26,1227340.2782833332
2019-06-27,1226369.3840388888
2019-06-28,1223830.9822333332
2019-06-29,1219665.6878513887
2019-06-30,1219029.2831826387
2019-07-01,1223634.939367361
2019-07-02,1227541.0974963193
2019-07-03,1230443.296761389
2019-07-04,1232880.8340940282
2019-07-05,1232255.3899745839
2019-07-06,1228616.8686252781
2019-07-07,1227120.3420155558
2019-07-08,1230969.0508502775
2019-07-09,1234129.7227280557
2019-07-10,1234371.5666169445
2019-07-11,1234434.5872190278
2019-07-12,1233237.00767875
2019-07-13,1229224.8574558333
2019-07-14,1226996.5073731944
2019-07-15,1229719.2203968053
2019-07-16,1232006.4975218056
2019-07-17,1228748.3811537498
2019-07-18,1224813.832757222
2019-07-19,1222396.0402419446
2019-07-20,1217550.0611468055
2019-07-21,1215382.0461766666
2019-07-22,1219392.3412308332
2019-07-23,1222757.0777765277
2019-07-24,1222991.834709722
2019-07-25,1223336.2476229167
2019-07-26,1222208.025053472
2019-07-27,1218179.407413889
2019-07-28,1217282.3587493058
2019-07-29,1221639.0733895835
2019-07-30,1224851.2699145833
2019-07-31,1226050.7936881944
2019-08-01,1227370.3582541666
2019-08-02,1226862.4516694446
2019-08-03,1223119.0864777777
2019-08-04,1218843.9833513887
2019-08-05,1219556.6011534717
2019-08-06,1221874.6657555553
2019-08-07,1221895.6870569445
2019-08-08,1222080.4046312496
2019-08-09,1221349.5344597222
2019-08-10,1218287.3825194442
2019-08-11,1217509.8878430554
2019-08-12,1221504.3898972222
2019-08-13,1225303.342915278
2019-08-14,1226121.3024291669
2019-08-15,1225985.2543194448
2019-08-16,1228539.7678180558
2019-08-17,1229044.5859111112
2019-08-18,1228865.0410326389
2019-08-19,1233977.7957854168
2019-08-20,1238492.7233958335
2019-08-21,1240288.2599305557
2019-08-22,1241840.161459722
2019-08-23,1242747.6960430555
2019-08-24,1241490.1334354167
2019-08-25,1243242.9409902778
2019-08-26,1250635.38670625
2019-08-27,1256308.0855291667
2019-08-28,1259019.6551611111
2019-08-29,1261301.018445833
2019-08-30,1261822.179367361
2019-08-31,1259617.1197930553
2019-09-01,1258942.2130278472
2019-09-02,1262846.1367786115
2019-09-03,1266679.9328640278
2019-09-04,1269181.6024806944
2019-09-05,1271736.0945418053
2019-09-06,1272163.13793
