Time,resid
2018-04-13,117831.76639798023
2018-04-14,82832.5452617286
2018-04-15,18386.03269943028
2018-04-16,37101.5002811007
2018-04-17,35700.76166173241
2018-04-18,93754.33934921348
2018-04-19,95458.76062560969
2018-04-20,118714.88646777466
2018-04-21,103794.36334702128
2018-04-22,-15322.295858618269
2018-04-23,79401.91417605856
2018-04-24,89179.96243516817
2018-04-25,102812.31474108496
2018-04-26,118168.79504239788
2018-04-27,136588.7356456853
2018-04-28,101552.21140005757
2018-04-29,-30599.68145377795
2018-04-30,86628.86313161394
2018-05-01,64096.231091808055
2018-05-02,46450.957074388
2018-05-03,56876.26941293051
2018-05-04,90421.83835230286
2018-05-05,50285.494989095016
2018-05-06,-76586.57115046363
2018-05-07,27088.61464096349
2018-05-08,29462.558017059382
2018-05-09,33630.29553086077
2018-05-10,61690.71358748944
2018-05-11,96352.17071651884
2018-05-12,71343.0443292016
2018-05-13,-59390.797501661975
2018-05-14,50871.250356150005
2018-05-15,52423.734774955155
2018-05-16,45231.09254930455
2018-05-17,54568.73509068957
2018-05-18,75160.59712387063
2018-05-19,42140.36735201766
2018-05-20,-100010.18064486973
2018-05-21,54573.42211255791
2018-05-22,52693.444997759645
2018-05-23,51726.91151256571
2018-05-24,15444.56122243272
2018-05-25,78417.7396356442
2018-05-26,4909.343172935063
2018-05-27,-53986.99764547455
2018-05-28,59518.25599949116
2018-05-29,63610.671858832895
2018-05-30,73977.56407898909
2018-05-31,83230.9908831442
2018-06-01,107752.29089622237
2018-06-02,31716.177376545922
2018-06-03,-86187.69613066898
2018-06-04,8978.2134624094
2018-06-05,21182.69177494372
2018-06-06,8265.183046971833
2018-06-07,38114.35205037756
2018-06-08,109945.95628556023
2018-06-09,7426.73001812883
2018-06-10,-130015.13928857585
2018-06-11,-28431.1663938767
2018-06-12,-13549.089019055406
2018-06-13,-3734.142197925212
2018-06-14,11636.130720305558
2018-06-15,67240.82229917927
2018-06-16,35160.91286102076
2018-06-17,-64932.94353495709
2018-06-18,55472.02541777499
2018-06-19,1945.88220075459
2018-06-20,12059.020911926591
2018-06-21,33933.321948102435
2018-06-22,71458.08130667929
2018-06-23,28269.592404445975
2018-06-24,-96990.22569974004
2018-06-25,-31181.66085900161
2018-06-26,-20849.761426166675
2018-06-27,1536.168542847343
2018-06-28,18103.91563768009
2018-06-29,61566.794426116234
2018-06-30,14705.761895187701
2018-07-01,-97100.98671288649
2018-07-02,13287.094837836099
2018-07-03,16795.307446546183
2018-07-04,19837.95887905363
2018-07-05,34325.060459380846
2018-07-06,63914.470748478736
2018-07-07,10868.029279300783
2018-07-08,-103408.30240792906
2018-07-09,-15915.477350912144
2018-07-10,7512.782443220174
2018-07-11,4757.790340644067
2018-07-12,15247.618236564907
2018-07-13,53814.72258808328
2018-07-14,11975.889291340558
2018-07-15,-82366.79436142588
2018-07-16,15572.161924510332
2018-07-17,-2723.7818654442744
2018-07-18,13254.643673406601
2018-07-19,-7805.004645489898
2018-07-20,28584.608101776055
2018-07-21,36658.418313442686
2018-07-22,-89848.49125978215
2018-07-23,-22054.369492670332
2018-07-24,-12877.752586032191
2018-07-25,-17393.99832442838
2018-07-26,-32900.72026305289
2018-07-27,15450.60082528619
2018-07-28,18821.477137854512
2018-07-29,-68447.32590861798
2018-07-30,-16810.143652487706
2018-07-31,-11812.951099399754
2018-08-01,-17778.13021995347
2018-08-02,-23485.54878710529
2018-08-03,1229.0018424781283
2018-08-04,20801.347129761198
2018-08-05,-96512.14691234507
2018-08-06,-36017.865326991
2018-08-07,-38871.88590027862
2018-08-08,-48469.21104846352
2018-08-09,-27130.135483457983
2018-08-10,33144.300518260294
2018-08-11,27728.877373077514
2018-08-12,-101059.34378762454
2018-08-13,-33035.39832679117
2018-08-14,-29956.316591437135
2018-08-15,-28246.89568437093
2018-08-16,-23579.09346484467
2018-08-17,17829.75672172494
2018-08-18,30196.12729384245
2018-08-19,-13220.016107875606
2018-08-20,-34840.43522559844
2018-08-21,-15998.02697929139
2018-08-22,-13622.853615792395
2018-08-23,-10566.661891905518
2018-08-24,25474.241904270326
2018-08-25,27454.018228100333
2018-08-26,-82294.23396370902
2018-08-27,-9535.915424119958
2018-08-28,-13868.892622893021
2018-08-29,7246.546664549693
2018-08-30,-86395.62780673445
2018-08-31,-1859.681099742229
2018-09-01,23773.365721359452
2018-09-02,-92231.725451386
2018-09-03,-36100.15306188846
2018-09-04,-30894.860291094796
2018-09-05,-29529.63571392586
2018-09-06,-35959.92963144909
2018-09-07,4970.638427740618
2018-09-08,12996.28871689581
2018-09-09,-117195.04612791019
2018-09-10,-42710.30399671702
2018-09-11,-37982.93992496461
2018-09-12,-36496.069948937205
2018-09-13,-18188.597001220376
2018-09-14,17682.129755183894
2018-09-15,23333.944448676964
2018-09-16,-42906.52716850754
2018-09-17,55034.828798185714
2018-09-18,-17048.28079674564
2018-09-19,-50111.81135520844
2018-09-20,-54525.28141304324
2018-09-21,-19729.594005467297
2018-09-22,-19495.6747057372
2018-09-23,-96644.51028174954
2018-09-24,109100.9222034673
2018-09-25,20191.04052060563
2018-09-26,20891.16093606253
2018-09-27,13986.14129063231
2018-09-28,31357.83590141598
2018-09-29,4440.5649158146625
2018-09-30,-102123.18194730542
2018-10-01,36551.41015191834
2018-10-02,-16989.403306635795
2018-10-03,-35189.599465288615
2018-10-04,-121823.66163931803
2018-10-05,36015.89670588735
2018-10-06,50540.34530284333
2018-10-07,9816.23977342558
2018-10-08,53448.857253539834
2018-10-09,-10955.005910212174
2018-10-10,-4392.022534823831
2018-10-11,6258.340251705682
2018-10-12,51037.658995244645
2018-10-13,19783.00380118066
2018-10-14,-27810.585584565153
2018-10-15,76046.27488700277
2018-10-16,-3077.344292148562
2018-10-17,13489.733363433501
2018-10-18,369.6708343502396
2018-10-19,26947.504697816905
2018-10-20,19002.447847345295
2018-10-21,-57833.940734500386
2018-10-22,52797.1344666831
2018-10-23,10373.519963345876
2018-10-24,-101558.26934101488
2018-10-25,-74226.97162997583
2018-10-26,-34649.80358467151
2018-10-27,-31835.327313134294
2018-10-28,-83687.92852171883
2018-10-29,51368.598177691296
2018-10-30,-3842.8153806039336
2018-10-31,958.9147643009128
2018-11-01,4123.955974917386
2018-11-02,12140.671817896568
2018-11-03,5236.11911361602
2018-11-04,-79029.77426965651
2018-11-05,53063.49437481843
2018-11-06,20978.55605506959
2018-11-07,-9806.297379538657
2018-11-08,1493.550594776476
2018-11-09,7405.166384711777
2018-11-10,14549.482952729173
2018-11-11,-70371.95224668078
2018-11-12,35379.159560959815
2018-11-13,3296.5315729651993
2018-11-14,-787.5669874229225
2018-11-15,-6901.975135101944
2018-11-16,1367.4413439697364
2018-11-17,-7682.832592635888
2018-11-18,-106305.01090865591
2018-11-19,18085.362864441544
2018-11-20,-20238.433100143688
2018-11-21,-22252.413312175475
2018-11-22,-24741.29135530714
2018-11-23,10867.239797307091
2018-11-24,5487.315656896011
2018-11-25,-90437.77260867468
2018-11-26,630.0866118388876
2018-11-27,-36750.066573788805
2018-11-28,-27537.381701924223
2018-11-29,-25494.6424005734
2018-11-30,-465.53228219071025
2018-12-01,-6357.123423359095
2018-12-02,-88567.33799671134
2018-12-03,6705.470162394529
2018-12-04,-23343.820895455632
2018-12-05,-38638.69748404382
2018-12-06,-40006.95925730879
2018-12-07,-15977.699561969923
2018-12-08,-20930.48351838549
2018-12-09,-88230.47104142599
2018-12-10,8879.831863193453
2018-12-11,-7915.0257178451575
2018-12-12,-30207.782638910852
2018-12-13,-44939.860924702065
2018-12-14,-13793.845236669382
2018-12-15,-19099.09360663507
2018-12-16,-81726.31051726322
2018-12-17,14737.242192348465
2018-12-18,-3158.6133635723672
2018-12-19,-11711.566346917156
2018-12-20,6287.5172326681495
2018-12-21,19348.522657656766
2018-12-22,-7770.336108785239
2018-12-23,-99955.71685562687
2018-12-24,687.5033454576042
2018-12-25,-26193.255200371925
2018-12-26,-25294.783788758643
2018-12-27,-34174.528937133655
2018-12-28,-29456.509601833073
2018-12-29,-46252.33725745336
2018-12-30,-126368.18488059255
2018-12-31,-9903.277448975336
2019-01-01,-27881.824541087422
2019-01-02,-16356.238661555195
2019-01-03,-7622.877594367299
2019-01-04,12697.92348840266
2019-01-05,-2961.3442959730746
2019-01-06,-67964.34068655541
2019-01-07,36555.26075884777
2019-01-08,-6118.694553381851
2019-01-09,-19480.664336817732
2019-01-10,-55604.310379474045
2019-01-11,-66940.05393762476
2019-01-12,-88625.6427272062
2019-01-13,-130654.81492154002
2019-01-14,-33491.4872768027
2019-01-15,-52896.15149622054
2019-01-16,-43095.74594037949
2019-01-17,-36797.439162997536
2019-01-18,-12059.661228598568
2019-01-19,-27766.1505464371
2019-01-20,-106214.16663502561
2019-01-21,-7269.061698393321
2019-01-22,-38201.88156976319
2019-01-23,-44453.711169108676
2019-01-24,-47877.64926077915
2019-01-25,-44658.296475326104
2019-01-26,-63662.24160493445
2019-01-27,-124077.68857715272
2019-01-28,-9202.889350634345
2019-01-29,-26702.165360276747
2019-01-30,-18588.36711489992
2019-01-31,-31695.89920402094
2019-02-01,-23192.054154744066
2019-02-02,-44516.51012232372
2019-02-03,-116357.69410779909
2019-02-04,-7472.991334203325
2019-02-05,-51305.953988636385
2019-02-06,-43723.62395904385
2019-02-07,-27510.334761216778
2019-02-08,552.6513660210112
2019-02-09,-33720.97052072583
2019-02-10,-113319.97746727453
2019-02-11,7599.465132698679
2019-02-12,-28768.926047384826
2019-02-13,-36942.10793088936
2019-02-14,-42905.165490916006
2019-02-15,-19732.592325436737
2019-02-16,60912.95196637849
2019-02-17,-71613.61237990399
2019-02-18,9404.014906755137
2019-02-19,-5843.096647947801
2019-02-20,-17313.94406203476
2019-02-21,-21777.767856555372
2019-02-22,12603.34727888988
2019-02-23,2918.2961489775043
2019-02-24,-70376.04426196241
2019-02-25,102074.09115742872
2019-02-26,14663.370522782432
2019-02-27,6846.381655678459
2019-02-28,4697.237444776649
2019-03-01,27705.595251561288
2019-03-02,3623.231714708065
2019-03-03,-84541.44176730856
2019-03-04,37728.44146438858
2019-03-05,5829.08278080052
2019-03-06,5968.648676317804
2019-03-07,-101087.13940054667
2019-03-08,15082.367188406795
2019-03-09,6139.014302056043
2019-03-10,-9590.676243233269
2019-03-11,137744.3162979845
2019-03-12,102954.98551691906
2019-03-13,91640.14018356267
2019-03-14,82624.57818296528
2019-03-15,107483.19367736399
2019-03-16,74509.07889683885
2019-03-17,15780.688873996682
2019-03-18,126534.73547098304
2019-03-19,87806.36432838778
2019-03-20,88829.20449809858
2019-03-21,81887.22466099428
2019-03-22,67711.38369152318
2019-03-23,-36644.22360081704
2019-03-24,-52058.77676567242
2019-03-25,91748.19250987947
2019-03-26,43251.90539417547
2019-03-27,21260.475035103926
2019-03-28,22169.076025503644
2019-03-29,25288.50555460519
2019-03-30,-31917.003307799776
2019-03-31,-65748.67045709192
2019-04-01,80816.90882635562
2019-04-02,35246.04125717383
2019-04-03,-20550.29538940899
2019-04-04,-10311.26860254829
2019-04-05,-33915.073020288066
2019-04-06,-47666.0867175749
2019-04-07,-98091.25303402459
2019-04-08,31923.64848820907
2019-04-09,11105.527138909398
2019-04-10,14248.130320868877
2019-04-11,-2126.39898604904
2019-04-12,13982.016696911298
2019-04-13,-29828.74575262428
2019-04-14,-59663.78958893354
2019-04-15,-42963.94797732759
2019-04-16,16558.922221614586
2019-04-17,-41164.96635431766
2019-04-18,9610.855474658496
2019-04-19,1163.0766055528438
2019-04-20,-43202.90193911988
2019-04-21,-94296.46186775004
2019-04-22,31794.443163426196
2019-04-23,-15172.971118781177
2019-04-24,-7488.542212239976
2019-04-25,-12944.384634290902
2019-04-26,-8076.549523400652
2019-04-27,-57927.848120672206
2019-04-28,-108251.69138503316
2019-04-29,48366.36393935046
2019-04-30,-7795.550122369321
2019-05-01,-2206.939017711913
2019-05-02,4833.349155039366
2019-05-03,5124.32451978085
2019-05-04,-41882.6015469203
2019-05-05,-88048.43557138368
2019-05-06,64568.656082950445
2019-05-07,19178.409713737892
2019-05-08,4181.941611260794
2019-05-09,779.4422720256189
2019-05-10,-4947.382288194967
2019-05-11,-57637.16549237298
2019-05-12,-113559.1597575786
2019-05-13,35651.48175802997
2019-05-14,-4089.792208564322
2019-05-15,806.7410295445734
2019-05-16,-165.2795235376543
2019-05-17,350.1323039546405
2019-05-18,-30939.506356962498
2019-05-19,-79741.66966193216
2019-05-20,79317.92364431972
2019-05-21,52630.51478045747
2019-05-22,11817.122547325787
2019-05-23,35961.20538658384
2019-05-24,51047.59005822016
2019-05-25,-10269.854772381063
2019-05-26,-45796.35846104939
2019-05-27,107660.94988463931
2019-05-28,47544.163599239735
2019-05-29,34726.52439088766
2019-05-30,26377.203338383573
2019-05-31,32822.47330169414
2019-06-01,-11266.058367578862
2019-06-02,-52976.975627392574
2019-06-03,94685.23889088375
2019-06-04,39953.87661979541
2019-06-05,42660.771096770295
2019-06-06,55140.29585205197
2019-06-07,49683.101393185825
2019-06-08,-3601.7937420537237
2019-06-09,-18047.297119108538
2019-06-10,108481.40133820486
2019-06-11,58227.578371523254
2019-06-12,51886.54057869602
2019-06-13,43180.37464319371
2019-06-14,29071.19621247456
2019-06-15,-18422.097307270516
2019-06-16,-77700.7678361591
2019-06-17,42706.52117183564
2019-06-18,-35774.51130628858
2019-06-19,36474.44559056067
2019-06-20,42852.60643742881
2019-06-21,48587.71597834187
2019-06-22,20447.047348083106
2019-06-23,-37186.66939078307
2019-06-24,98797.46386980319
2019-06-25,77180.6274449932
2019-06-26,58682.223454392006
2019-06-27,47164.556810233116
2019-06-28,51582.952962725416
2019-06-29,21829.83992818191
2019-06-30,-23353.280458716872
2019-07-01,109348.453833882
2019-07-02,71380.48812189943
2019-07-03,75111.44474995884
2019-07-04,72708.09451314018
2019-07-05,69510.2562769152
2019-07-06,17122.902494506634
2019-07-07,-52910.289389466096
2019-07-08,83699.03320993637
2019-07-09,42339.053427615116
2019-07-10,24988.97666540058
2019-07-11,24500.47390368068
2019-07-12,37411.30673421348
2019-07-13,2579.954538277154
2019-07-14,-40071.208274573015
2019-07-15,77138.11139746653
2019-07-16,19737.598750582965
2019-07-17,8163.917823197313
2019-07-18,30445.744092835732
2019-07-19,5889.334799007935
2019-07-20,-30500.277948258026
2019-07-21,-38574.08815992465
2019-07-22,87932.82141330019
2019-07-23,20138.69964618837
2019-07-24,10962.082739550227
2019-07-25,15478.328477946416
2019-07-26,30985.050416570928
2019-07-27,-17366.27067176816
2019-07-28,-20737.146984336476
2019-07-29,66531.65606213601
2019-07-30,14894.473806005743
2019-07-31,9897.28125291779
2019-08-01,15862.460373471506
2019-08-02,21569.878940623326
2019-08-03,-3144.6716889600957
2019-08-04,-22717.01697624316
2019-08-05,94596.4770658631
2019-08-06,34102.195480509035
2019-08-07,36956.216053796656
2019-08-08,46553.541201981556
2019-08-09,25214.46563697602
2019-08-10,-35059.97036474226
2019-08-11,-29644.547219559478
2019-08-12,99143.67394114258
2019-08-13,31119.728480309204
2019-08-14,28040.64674495517
2019-08-15,26331.225837888967
2019-08-16,21663.423618362707
2019-08-17,-19745.426568206913
2019-08-18,-32111.797140324416
2019-08-19,11304.346261393643
2019-08-20,32924.76537911648
2019-08-21,14082.357132809426
2019-08-22,11707.183769310432
2019-08-23,8650.992045423554
2019-08-24,-27389.91175075229
2019-08-25,-29369.688074582304
2019-08-26,80378.56411722706
2019-08-27,7620.245577637994
2019-08-28,11953.222776411058
2019-08-29,-9162.216511031656
2019-08-30,84479.95796025249
2019-08-31,-55.98874673973478
2019-09-01,-25689.035567841423
2019-09-02,90316.05560490403
2019-09-03,34184.48321540649
2019-09-04,28979.190444612832
2019-09-05,27613.965867443898
2019-09-06,34044.25978496713
2019-09-07,-6886.3082742225815
2019-09-08,-14911.958563377777
2019-09-09,115279.37628142822
2019-09-10,40794.634150235055
2019-09-11,36067.270078482645
2019-09-12,34580.40010245524
2019-09-13,16272.927154738412
2019-09-14,-19597.799601665858
2019-09-15,-25249.614295158928
2019-09-16,94910.02686750857
2019-09-17,47607.25623022919
2019-09-18,2299.662639601309
2019-09-19,37014.28515025934
2019-09-20,32524.73571856614
2019-09-21,-27526.58151672261
2019-09-22,-74816.28301397913
2019-09-23,86321.28628000873
2019-09-24,-29615.522108084915
2019-09-25,10493.320158026414
2019-09-26,14205.332132797994
2019-09-27,20507.452530130744
2019-09-28,-30798.289373423366
2019-09-29,-62757.71071423009
2019-09-30,118780.2722827179
2019-10-01,93337.4626137455
2019-10-02,44874.42724811379
2019-10-03,55665.13372245159
2019-10-04,106855.31078282821
2019-10-05,26277.22941753159
2019-10-06,-29721.849588709112
2019-10-07,4130.3693652521615
2019-10-08,64172.57023696438
2019-10-09,42978.018415449886
2019-10-10,40275.78033204787
2019-10-11,29189.23691195676
2019-10-12,-67461.323583066
2019-10-13,-95710.0902501895
2019-10-14,-20101.293030729837
2019-10-15,-8103.438421456383
2019-10-16,13420.013095956216
2019-10-17,5950.167333296493
2019-10-18,24048.143273870766
2019-10-19,-31634.473416315865
2019-10-20,-77608.20830187909
2019-10-21,77676.65769766821
2019-10-22,74250.00727364591
2019-10-23,4063.528714578286
2019-10-24,63015.77591818562
2019-10-25,37713.73665879061
2019-10-26,-22782.593098884376
2019-10-27,-64531.82353528085
2019-10-28,80552.04804395419
2019-10-29,55071.02728979157
2019-10-30,36088.08720148502
2019-10-31,21073.790561058784
2019-11-01,26216.036513113642
2019-11-02,-1898.496898358775
2019-11-03,-53611.77316856447
2019-11-04,76771.6620465765
2019-11-05,61566.869342352526
2019-11-06,16140.83916250096
2019-11-07,29106.82792309857
2019-11-08,32140.436119673846
2019-11-09,3591.491470510754
2019-11-10,-55408.70716603768
2019-11-11,94587.03878249713
2019-11-12,85871.48860872237
2019-11-13,31389.204376150148
2019-11-14,21703.565987280177
2019-11-15,31049.65731288911
2019-11-16,2554.967392588338
2019-11-17,-21938.70635549003
2019-11-18,119059.11079778257
2019-11-19,92589.41252270628
2019-11-20,45802.88439008453
2019-11-21,67789.16105632887
2019-11-22,60562.38625452139
2019-11-23,-348.63408038727357
2019-11-24,-61581.44012268176
2019-11-25,96846.39182550323
2019-11-26,96783.20335779793
2019-11-27,53743.80292417908
2019-11-28,43922.38108812124
2019-11-29,42288.20971077315
2019-11-30,-9381.747134839265
2019-12-01,-46825.9210676284
2019-12-02,90597.21621965864
2019-12-03,89531.7375495062
2019-12-04,36991.74581664489
2019-12-05,35919.51078828501
2019-12-06,43868.070500533635
2019-12-07,-463.6077645500991
2019-12-08,-32633.614763191596
2019-12-09,119173.46753962427
2019-12-10,110904.20414309078
2019-12-11,55349.181294825656
2019-12-12,44836.44759570093
2019-12-13,43854.80207802619
2019-12-14,16082.799117942253
2019-12-15,-10715.129324318099
2019-12-16,100096.59768164091
2019-12-17,74044.12855938077
2019-12-18,13748.235341348132
2019-12-19,39326.07441196442
2019-12-20,30747.10370774826
2019-12-21,-19452.78526072197
2019-12-22,-46248.13014376222
2019-12-23,90863.88310277523
2019-12-24,93260.28246601694
2019-12-25,50807.702298783384
2019-12-26,25963.19854919814
2019-12-27,34310.09917722696
2019-12-28,18135.882806568632
2019-12-29,-22416.47113156307
2019-12-30,128655.14913218126
2019-12-31,113606.99842490573
2020-01-01,32309.217175899146
2020-01-02,16861.470534346445
2020-01-03,5866.634534787921
2020-01-04,-19435.077295466872
2020-01-05,-39812.95278133848
2020-01-06,90249.96509309074
2020-01-07,83914.77799429333
2020-01-08,46829.91814023713
2020-01-09,64032.66315110454
2020-01-10,109680.27990291212
2020-01-11,64474.802321667936
2020-01-12,86042.00228014591
2020-01-13,154202.22900970426
2020-01-14,132249.10250490956
2020-01-15,61485.08526584583
2020-01-16,36954.68448077359
2020-01-17,38043.284275507314
2020-01-18,6522.191215351217
2020-01-19,-31768.920079211326
2020-01-20,99730.45950417526
2020-01-21,97053.0428792896
2020-01-22,46249.21957404981
2020-01-23,35695.59688924796
2020-01-24,22215.909677897107
2020-01-25,-2333.234565919891
2020-01-26,-22190.52605857572
2020-01-27,119391.46292537027
2020-01-28,108083.14527229937
2020-01-29,78979.64708134423
2020-01-30,88775.73560363869
2020-01-31,79203.05953115007
2020-02-01,27443.637003246535
2020-02-02,2867.317146043446
2020-02-03,140975.5878891748
2020-02-04,123893.79985044205
2020-02-05,84862.87667022133
2020-02-06,74387.30109766815
2020-02-07,42102.3863695024
2020-02-08,-1808.3307600640765
2020-02-09,-29638.575888237225
2020-02-10,113546.75909659534
2020-02-11,97337.78197015313
2020-02-12,41091.97348089135
2020-02-13,41590.750794121755
2020-02-14,48375.70692256581
2020-02-15,11455.484417349013
2020-02-16,14712.076641903608
2020-02-17,103926.13615145456
2020-02-18,102506.53754112749
2020-02-19,36448.93809587624
2020-02-20,35064.42180221186
2020-02-21,28260.776416732617
2020-02-22,-20725.005239431834
2020-02-23,-52892.409029835224
2020-02-24,85267.0930345105
2020-02-25,-29127.71896483117
2020-02-26,10375.525409369722
2020-02-27,14835.050404023219
2020-02-28,4650.510762813108
2020-02-29,-52371.432090299524
2020-03-01,-76047.71638337415
2020-03-02,69618.6792442208
2020-03-03,69332.34556436546
2020-03-04,7402.542985069325
2020-03-05,-6532.359477906335
2020-03-06,43488.730244247236
